ID,Name,behaviorVariationId,sortId,wanderingEquipId,weight,weaponWeightRate,fixPrice,basicPrice,sellValue,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,materialSetId,originEquipWep,originEquipWep1,originEquipWep2,originEquipWep3,originEquipWep4,originEquipWep5,originEquipWep6,originEquipWep7,originEquipWep8,originEquipWep9,originEquipWep10,originEquipWep11,originEquipWep12,originEquipWep13,originEquipWep14,originEquipWep15,antiDemonDamageRate,antSaintDamageRate,antWeakA_DamageRate,antWeakB_DamageRate,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,equipModelId,iconId,durability,durabilityMax,attackThrowEscape,parryDamageLife,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,saWeaponDamage,saDurability,guardAngle,staminaGuardDef,reinforceTypeId,trophySGradeId,trophySeqId,throwAtkRate,bowDistRate,equipModelCategory,equipModelGender,weaponCategory,wepmotionCategory,guardmotionCategory,atkMaterial,defMaterial,defSfxMaterial,correctType,spAttribute,spAtkcategory,wepmotionOneHandId,wepmotionBothHandId,properStrength,properAgility,properMagic,properFaith,overStrength,attackBaseParry,defenseBaseParry,guardBaseRepel,attackBaseRepel,guardCutCancelRate,guardLevel,slashGuardCutRate,blowGuardCutRate,thrustGuardCutRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,isDurabilityDivergence,rightHandEquipable,leftHandEquipable,bothHandEquipable,arrowSlotEquipable,boltSlotEquipable,enableGuard,enableParry,enableMagic,enableSorcery,enableMiracle,enableVowMagic,isNormalAttackType,isBlowAttackType,isSlashAttackType,isThrustAttackType,isEnhance,isLuckCorrect,isCustom,disableBaseChangeReset,disableRepair,isDarkHand,simpleModelForDlc,lanternWep,isVersusGhostWep,baseChangeCategory,isDragonSlayer,isDeposit,disableMultiDropShare,pad_0,oldSortId,pad_1
100000,Dagger,2000,1,199000,0.5,0,400,100,50,13,85,0,0,45,10,30,30,-1,-1,-1,-1,-1,-1,0,100000,100000,100000,100000,100000,100000,100005,100005,100005,100005,100005,100010,100010,100010,100010,100010,1,1,1,1,100700,100710,100720,100,1,200,200,1,10,56,0,0,0,10,5,0,0,26,0,-1,16,31,-1,7,0,0,20,2,0,50,50,0,1,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,[0|0|0|0|0|0|0|0]
100100,Dagger [Crystal],2000,2,199000,0.5,0,400,100,1,13,85,0,0,45,10,30,30,-1,-1,-1,-1,-1,-1,100,100010,100010,100010,100010,100010,100010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,100700,100710,100720,100,1,20,20,1,10,56,0,0,0,10,5,0,0,26,100,-1,17,31,-1,7,0,0,20,2,0,50,50,0,1,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,5,0,1,0,0,2,[0|0|0|0|0|0|0|0]
100200,Dagger [Lightning],2000,3,199000,0.5,0,400,100,500,0,0,0,0,45,10,30,30,-1,-1,-1,-1,-1,-1,200,100010,100010,100010,100010,100010,100010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,100700,100710,100720,100,1,200,200,1,10,56,0,0,56,10,5,0,0,26,200,-1,18,31,-1,7,0,0,20,2,0,50,50,0,6,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,10,0,1,0,0,3,[0|0|0|0|0|0|0|0]
100300,Dagger [Raw],2000,4,199000,0.5,0,400,100,50,10,64,0,0,45,10,30,30,-1,-1,-1,-1,-1,-1,300,100005,100005,100005,100005,100005,100005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,100,1,200,200,1,10,64,0,0,0,10,5,0,0,26,300,-1,19,31,-1,7,0,0,20,2,0,50,50,0,1,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,15,0,1,0,0,4,[0|0|0|0|0|0|0|0]
100400,Dagger [Magic],2000,5,199000,0.5,0,400,100,50,4,24,71,0,45,10,30,30,-1,-1,-1,-1,-1,-1,400,100005,100005,100005,100005,100005,100005,100405,100405,100405,100405,100405,-1,-1,-1,-1,-1,1,1,1,1,100800,100810,100820,100,1,200,200,1,10,42,46,0,0,10,5,0,0,26,400,-1,20,31,-1,7,0,0,20,2,0,50,50,1,1,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,20,0,1,0,0,5,[0|0|0|0|0|0|0|0]
100500,Dagger [Enchanted],2000,6,199000,0.5,0,400,100,50,3,17,69,0,45,10,30,30,-1,-1,-1,-1,-1,-1,500,100405,100405,100405,100405,100405,100405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,100800,100810,100820,100,1,200,200,1,10,42,45,0,0,10,5,0,0,26,500,-1,21,31,-1,7,0,0,20,2,0,50,50,1,1,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,22,0,1,0,0,6,[0|0|0|0|0|0|0|0]
100600,Dagger [Divine],2000,7,199000,0.5,0,400,100,100,5,33,0,70,45,10,30,30,-1,-1,-1,-1,-1,-1,600,100005,100005,100005,100005,100005,100005,100605,100605,100605,100605,100605,-1,-1,-1,-1,-1,1,1.1,1,1,100900,100910,100920,100,1,200,200,1,10,38,46,0,0,10,5,0,0,26,600,-1,22,31,-1,7,0,0,20,2,0,50,50,1,1,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,25,0,1,0,0,7,[0|0|0|0|0|0|0|0]
100700,Dagger [Occult],2000,8,199000,0.5,0,400,100,100,5,31,0,82,45,10,30,30,-1,-1,-1,-1,-1,-1,700,100605,100605,100605,100605,100605,100605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.1,1,100900,100910,100920,100,1,200,200,1,10,38,42,0,0,10,5,0,0,26,700,-1,23,31,-1,7,0,0,20,2,0,50,50,1,1,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,30,0,1,0,0,8,[0|0|0|0|0|0|0|0]
100800,Dagger [Fire],2000,9,199000,0.5,0,400,100,50,0,0,0,0,45,10,30,30,-1,-1,-1,-1,-1,-1,800,100005,100005,100005,100005,100005,100005,100805,100805,100805,100805,100805,-1,-1,-1,-1,-1,1,1,1,1,101000,101010,101020,100,1,200,200,1,10,56,0,56,0,10,5,0,0,26,800,-1,24,31,-1,7,0,0,20,2,0,50,50,0,2,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,35,0,1,0,0,9,[0|0|0|0|0|0|0|0]
100900,Dagger [Chaos],2000,10,199000,0.5,0,400,100,50,0,0,0,0,45,10,30,30,-1,-1,-1,-1,-1,-1,900,100805,100805,100805,100805,100805,100805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,101000,101010,101020,100,1,200,200,1,10,49,0,57,0,10,5,0,0,26,900,-1,25,31,-1,7,0,0,20,2,0,50,50,0,2,0,0,10,5,8,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,40,0,1,0,0,10,[0|0|0|0|0|0|0|0]
